operator,dtype,size,density,outputsize,time_us
compress_128_0.2_fp16,fp16,327680,0.2,65268,220.88
compress_128_0.2_fp16,fp16,5570560,0.2,1113480,254.35
compress_128_0.2_fp16,fp16,10813440,0.2,2162265,320.26
compress_128_0.2_fp16,fp16,16056320,0.2,3211787,385.85
compress_128_0.2_fp16,fp16,21299200,0.2,4261961,451.63
compress_128_0.2_fp16,fp16,26542080,0.2,5304008,484.01
compress_128_0.2_fp16,fp16,31784960,0.2,6360538,524.12
compress_128_0.2_fp16,fp16,37027840,0.2,7401283,587.90
compress_128_0.2_fp16,fp16,42270720,0.2,8453890,619.55
compress_128_0.2_fp16,fp16,47513600,0.2,9503771,655.56
compress_128_0.2_fp16,fp16,52756480,0.2,10553546,706.06
compress_128_0.2_fp16,fp16,57999360,0.2,11604348,764.81
compress_128_0.2_fp16,fp16,63242240,0.2,12651198,803.66
compress_128_0.2_fp16,fp16,68485120,0.2,13694143,845.36
compress_128_0.2_fp16,fp16,73728000,0.2,14740200,878.44
compress_128_0.2_fp16,fp16,78970880,0.2,15798869,911.41
compress_128_0.2_fp16,fp16,84213760,0.2,16848846,982.07
compress_128_0.2_fp16,fp16,89456640,0.2,17893439,1007.94
compress_128_0.2_fp16,fp16,94699520,0.2,18940273,1059.71
compress_128_0.2_fp16,fp16,99942400,0.2,19991504,1100.23
