operator,dtype,size,density,outputsize,time_us
compress_128_0.9_fp16,fp16,327680,0.9,294713,219.27
compress_128_0.9_fp16,fp16,5570560,0.9,5013783,274.80
compress_128_0.9_fp16,fp16,10813440,0.9,9731699,345.69
compress_128_0.9_fp16,fp16,16056320,0.9,14450423,413.20
compress_128_0.9_fp16,fp16,21299200,0.9,19168485,476.73
compress_128_0.9_fp16,fp16,26542080,0.9,23886950,519.73
compress_128_0.9_fp16,fp16,31784960,0.9,28607832,583.40
compress_128_0.9_fp16,fp16,37027840,0.9,33325605,650.31
compress_128_0.9_fp16,fp16,42270720,0.9,38044485,692.94
compress_128_0.9_fp16,fp16,47513600,0.9,42763124,755.99
compress_128_0.9_fp16,fp16,52756480,0.9,47479364,813.47
compress_128_0.9_fp16,fp16,57999360,0.9,52198944,859.96
compress_128_0.9_fp16,fp16,63242240,0.9,56915199,928.75
compress_128_0.9_fp16,fp16,68485120,0.9,61634056,973.36
compress_128_0.9_fp16,fp16,73728000,0.9,66350259,1030.51
compress_128_0.9_fp16,fp16,78970880,0.9,71071293,1077.83
compress_128_0.9_fp16,fp16,84213760,0.9,75788676,1149.72
compress_128_0.9_fp16,fp16,89456640,0.9,80511465,1195.07
compress_128_0.9_fp16,fp16,94699520,0.9,85228605,1241.11
compress_128_0.9_fp16,fp16,99942400,0.9,89946616,1290.98
