operator,dtype,size,density,outputsize,time_us
compress_128_0.8_fp16,fp16,327680,0.8,261975,222.71
compress_128_0.8_fp16,fp16,5570560,0.8,4457917,269.63
compress_128_0.8_fp16,fp16,10813440,0.8,8649976,346.15
compress_128_0.8_fp16,fp16,16056320,0.8,12845688,416.31
compress_128_0.8_fp16,fp16,21299200,0.8,17040472,500.37
compress_128_0.8_fp16,fp16,26542080,0.8,21233791,539.59
compress_128_0.8_fp16,fp16,31784960,0.8,25430014,569.69
compress_128_0.8_fp16,fp16,37027840,0.8,29624789,625.25
compress_128_0.8_fp16,fp16,42270720,0.8,33814623,680.20
compress_128_0.8_fp16,fp16,47513600,0.8,38014481,734.19
compress_128_0.8_fp16,fp16,52756480,0.8,42206297,783.71
compress_128_0.8_fp16,fp16,57999360,0.8,46395844,849.00
compress_128_0.8_fp16,fp16,63242240,0.8,50595405,904.53
compress_128_0.8_fp16,fp16,68485120,0.8,54790881,953.78
compress_128_0.8_fp16,fp16,73728000,0.8,58983154,997.42
compress_128_0.8_fp16,fp16,78970880,0.8,63173862,1056.16
compress_128_0.8_fp16,fp16,84213760,0.8,67361894,1122.29
compress_128_0.8_fp16,fp16,89456640,0.8,71565629,1167.10
compress_128_0.8_fp16,fp16,94699520,0.8,75750795,1230.98
compress_128_0.8_fp16,fp16,99942400,0.8,79955404,1283.71
