operator,dtype,size,density,outputsize,time_us
compress_128_0.5_fp16,fp16,327680,0.5,163961,225.26
compress_128_0.5_fp16,fp16,5570560,0.5,2784365,266.90
compress_128_0.5_fp16,fp16,10813440,0.5,5406148,333.72
compress_128_0.5_fp16,fp16,16056320,0.5,8030676,404.30
compress_128_0.5_fp16,fp16,21299200,0.5,10651376,467.06
compress_128_0.5_fp16,fp16,26542080,0.5,13274805,522.20
compress_128_0.5_fp16,fp16,31784960,0.5,15895683,550.24
compress_128_0.5_fp16,fp16,37027840,0.5,18514364,613.50
compress_128_0.5_fp16,fp16,42270720,0.5,21135863,653.10
compress_128_0.5_fp16,fp16,47513600,0.5,23756534,711.64
compress_128_0.5_fp16,fp16,52756480,0.5,26376207,762.09
compress_128_0.5_fp16,fp16,57999360,0.5,29003430,813.32
compress_128_0.5_fp16,fp16,63242240,0.5,31627642,857.25
compress_128_0.5_fp16,fp16,68485120,0.5,34243113,895.01
compress_128_0.5_fp16,fp16,73728000,0.5,36860452,943.73
compress_128_0.5_fp16,fp16,78970880,0.5,39480659,995.98
compress_128_0.5_fp16,fp16,84213760,0.5,42103717,1026.19
compress_128_0.5_fp16,fp16,89456640,0.5,44725746,1092.28
compress_128_0.5_fp16,fp16,94699520,0.5,47345553,1145.89
compress_128_0.5_fp16,fp16,99942400,0.5,49969323,1184.22
